"Date-time string","solar:solar ()"
2020-03-15T06:57:00+00:00,9
2020-03-15T06:58:00+00:00,6
2020-03-15T06:59:00+00:00,6
2020-03-15T07:00:00+00:00,4
2020-03-15T07:01:00+00:00,8
2020-03-15T07:02:00+00:00,5
2020-03-15T07:03:00+00:00,7
2020-03-15T07:04:00+00:00,5
2020-03-15T07:05:00+00:00,7
2020-03-15T07:06:00+00:00,7
2020-03-15T07:07:00+00:00,27
2020-03-15T07:08:00+00:00,11
2020-03-15T07:09:00+00:00,14
2020-03-15T07:10:00+00:00,0
2020-03-15T07:11:00+00:00,-4
2020-03-15T07:12:00+00:00,7
2020-03-15T07:13:00+00:00,7
2020-03-15T07:14:00+00:00,9
2020-03-15T07:15:00+00:00,7
2020-03-15T07:16:00+00:00,6
2020-03-15T07:17:00+00:00,6
2020-03-15T07:18:00+00:00,6
2020-03-15T07:19:00+00:00,7
2020-03-15T07:20:00+00:00,7
2020-03-15T07:21:00+00:00,6
2020-03-15T07:22:00+00:00,6
2020-03-15T07:23:00+00:00,7
2020-03-15T07:24:00+00:00,6
2020-03-15T07:25:00+00:00,10
2020-03-15T07:26:00+00:00,7
2020-03-15T07:27:00+00:00,6
2020-03-15T07:28:00+00:00,6
2020-03-15T07:29:00+00:00,6
2020-03-15T07:30:00+00:00,5
2020-03-15T07:31:00+00:00,6
2020-03-15T07:32:00+00:00,6
2020-03-15T07:33:00+00:00,7
2020-03-15T07:34:00+00:00,7
2020-03-15T07:35:00+00:00,8
2020-03-15T07:36:00+00:00,7
2020-03-15T07:37:00+00:00,6
2020-03-15T07:38:00+00:00,7
2020-03-15T07:39:00+00:00,7
2020-03-15T07:40:00+00:00,6
2020-03-15T07:41:00+00:00,10
2020-03-15T07:42:00+00:00,58
2020-03-15T07:43:00+00:00,62
2020-03-15T07:44:00+00:00,68
2020-03-15T07:45:00+00:00,68
2020-03-15T07:46:00+00:00,59
2020-03-15T07:47:00+00:00,55
2020-03-15T07:48:00+00:00,54
2020-03-15T07:49:00+00:00,49
2020-03-15T07:50:00+00:00,62
2020-03-15T07:51:00+00:00,76
2020-03-15T07:52:00+00:00,82
2020-03-15T07:53:00+00:00,98
2020-03-15T07:54:00+00:00,83
2020-03-15T07:55:00+00:00,78
2020-03-15T07:56:00+00:00,91
2020-03-15T07:57:00+00:00,92
2020-03-15T07:58:00+00:00,98
2020-03-15T07:59:00+00:00,100
2020-03-15T08:00:00+00:00,79
2020-03-15T08:01:00+00:00,93
2020-03-15T08:02:00+00:00,94
2020-03-15T08:03:00+00:00,107
2020-03-15T08:04:00+00:00,115
2020-03-15T08:05:00+00:00,111
2020-03-15T08:06:00+00:00,110
2020-03-15T08:07:00+00:00,112
2020-03-15T08:08:00+00:00,110
2020-03-15T08:09:00+00:00,121
2020-03-15T08:10:00+00:00,129
2020-03-15T08:11:00+00:00,128
2020-03-15T08:12:00+00:00,123
2020-03-15T08:13:00+00:00,122
2020-03-15T08:14:00+00:00,116
2020-03-15T08:15:00+00:00,114
2020-03-15T08:16:00+00:00,140
2020-03-15T08:17:00+00:00,184
2020-03-15T08:18:00+00:00,234
2020-03-15T08:19:00+00:00,274
2020-03-15T08:20:00+00:00,331
2020-03-15T08:21:00+00:00,371
2020-03-15T08:22:00+00:00,288
2020-03-15T08:23:00+00:00,288
2020-03-15T08:24:00+00:00,265
2020-03-15T08:25:00+00:00,237
2020-03-15T08:26:00+00:00,203
2020-03-15T08:27:00+00:00,204
2020-03-15T08:28:00+00:00,184
2020-03-15T08:29:00+00:00,173
2020-03-15T08:30:00+00:00,151
2020-03-15T08:31:00+00:00,138
2020-03-15T08:32:00+00:00,121
2020-03-15T08:33:00+00:00,107
2020-03-15T08:34:00+00:00,107
2020-03-15T08:35:00+00:00,117
2020-03-15T08:36:00+00:00,135
2020-03-15T08:37:00+00:00,163
2020-03-15T08:38:00+00:00,185
2020-03-15T08:39:00+00:00,193
2020-03-15T08:40:00+00:00,201
2020-03-15T08:41:00+00:00,175
2020-03-15T08:42:00+00:00,157
2020-03-15T08:43:00+00:00,149
2020-03-15T08:44:00+00:00,155
2020-03-15T08:45:00+00:00,176
2020-03-15T08:46:00+00:00,214
2020-03-15T08:47:00+00:00,290
2020-03-15T08:48:00+00:00,388
2020-03-15T08:49:00+00:00,448
2020-03-15T08:50:00+00:00,521
2020-03-15T08:51:00+00:00,413
2020-03-15T08:52:00+00:00,338
2020-03-15T08:53:00+00:00,326
2020-03-15T08:54:00+00:00,320
2020-03-15T08:55:00+00:00,337
2020-03-15T08:56:00+00:00,352
2020-03-15T08:57:00+00:00,411
2020-03-15T08:58:00+00:00,404
2020-03-15T08:59:00+00:00,366
2020-03-15T09:00:00+00:00,265
2020-03-15T09:01:00+00:00,229
2020-03-15T09:02:00+00:00,204
2020-03-15T09:03:00+00:00,203
2020-03-15T09:04:00+00:00,207
2020-03-15T09:05:00+00:00,218
2020-03-15T09:06:00+00:00,222
2020-03-15T09:07:00+00:00,223
2020-03-15T09:08:00+00:00,221
2020-03-15T09:09:00+00:00,216
2020-03-15T09:10:00+00:00,204
2020-03-15T09:11:00+00:00,195
2020-03-15T09:12:00+00:00,190
2020-03-15T09:13:00+00:00,200
2020-03-15T09:14:00+00:00,214
2020-03-15T09:15:00+00:00,244
2020-03-15T09:16:00+00:00,269
2020-03-15T09:17:00+00:00,308
2020-03-15T09:18:00+00:00,347
2020-03-15T09:19:00+00:00,397
2020-03-15T09:20:00+00:00,426
2020-03-15T09:21:00+00:00,417
2020-03-15T09:22:00+00:00,459
2020-03-15T09:23:00+00:00,437
2020-03-15T09:24:00+00:00,466
2020-03-15T09:25:00+00:00,514
2020-03-15T09:26:00+00:00,548
2020-03-15T09:27:00+00:00,754
2020-03-15T09:28:00+00:00,785
2020-03-15T09:29:00+00:00,779
2020-03-15T09:30:00+00:00,664
2020-03-15T09:31:00+00:00,683
2020-03-15T09:32:00+00:00,1125
2020-03-15T09:33:00+00:00,2084
2020-03-15T09:34:00+00:00,2606
2020-03-15T09:35:00+00:00,1648
2020-03-15T09:36:00+00:00,1003
2020-03-15T09:37:00+00:00,736
2020-03-15T09:38:00+00:00,699
2020-03-15T09:39:00+00:00,662
2020-03-15T09:40:00+00:00,505
2020-03-15T09:41:00+00:00,484
2020-03-15T09:42:00+00:00,511
2020-03-15T09:43:00+00:00,775
2020-03-15T09:44:00+00:00,1074
2020-03-15T09:45:00+00:00,889
2020-03-15T09:46:00+00:00,1425
2020-03-15T09:47:00+00:00,1996
2020-03-15T09:48:00+00:00,1001
2020-03-15T09:49:00+00:00,1737
2020-03-15T09:50:00+00:00,1569
2020-03-15T09:51:00+00:00,1314
2020-03-15T09:52:00+00:00,1778
2020-03-15T09:53:00+00:00,982
2020-03-15T09:54:00+00:00,1045
2020-03-15T09:55:00+00:00,1797
2020-03-15T09:56:00+00:00,1594
2020-03-15T09:57:00+00:00,766
2020-03-15T09:58:00+00:00,725
2020-03-15T09:59:00+00:00,740
2020-03-15T10:00:00+00:00,756
2020-03-15T10:01:00+00:00,766
2020-03-15T10:02:00+00:00,834
2020-03-15T10:03:00+00:00,816
2020-03-15T10:04:00+00:00,695
2020-03-15T10:05:00+00:00,667
2020-03-15T10:06:00+00:00,455
2020-03-15T10:07:00+00:00,419
2020-03-15T10:08:00+00:00,471
2020-03-15T10:09:00+00:00,450
2020-03-15T10:10:00+00:00,397
2020-03-15T10:11:00+00:00,364
2020-03-15T10:12:00+00:00,391
2020-03-15T10:13:00+00:00,439
2020-03-15T10:14:00+00:00,436
2020-03-15T10:15:00+00:00,380
2020-03-15T10:16:00+00:00,358
2020-03-15T10:17:00+00:00,379
2020-03-15T10:18:00+00:00,391
2020-03-15T10:19:00+00:00,411
2020-03-15T10:20:00+00:00,430
2020-03-15T10:21:00+00:00,432
2020-03-15T10:22:00+00:00,443
2020-03-15T10:23:00+00:00,404
2020-03-15T10:24:00+00:00,356
2020-03-15T10:25:00+00:00,329
2020-03-15T10:26:00+00:00,327
2020-03-15T10:27:00+00:00,340
2020-03-15T10:28:00+00:00,381
2020-03-15T10:29:00+00:00,380
2020-03-15T10:30:00+00:00,330
2020-03-15T10:31:00+00:00,248
2020-03-15T10:32:00+00:00,216
2020-03-15T10:33:00+00:00,209
2020-03-15T10:34:00+00:00,187
2020-03-15T10:35:00+00:00,207
2020-03-15T10:36:00+00:00,242
2020-03-15T10:37:00+00:00,275
2020-03-15T10:38:00+00:00,359
2020-03-15T10:39:00+00:00,370
2020-03-15T10:40:00+00:00,338
2020-03-15T10:41:00+00:00,308
2020-03-15T10:42:00+00:00,291
2020-03-15T10:43:00+00:00,306
2020-03-15T10:44:00+00:00,331
2020-03-15T10:45:00+00:00,331
2020-03-15T10:46:00+00:00,325
2020-03-15T10:47:00+00:00,326
2020-03-15T10:48:00+00:00,322
2020-03-15T10:49:00+00:00,338
2020-03-15T10:50:00+00:00,340
2020-03-15T10:51:00+00:00,344
2020-03-15T10:52:00+00:00,365
2020-03-15T10:53:00+00:00,347
2020-03-15T10:54:00+00:00,354
2020-03-15T10:55:00+00:00,375
2020-03-15T10:56:00+00:00,359
2020-03-15T10:57:00+00:00,325
2020-03-15T10:58:00+00:00,295
2020-03-15T10:59:00+00:00,256
2020-03-15T11:00:00+00:00,213
2020-03-15T11:01:00+00:00,192
2020-03-15T11:02:00+00:00,179
2020-03-15T11:03:00+00:00,183
2020-03-15T11:04:00+00:00,209
2020-03-15T11:05:00+00:00,214
2020-03-15T11:06:00+00:00,224
2020-03-15T11:07:00+00:00,251
2020-03-15T11:08:00+00:00,257
2020-03-15T11:09:00+00:00,258
2020-03-15T11:10:00+00:00,273
2020-03-15T11:11:00+00:00,285
2020-03-15T11:12:00+00:00,293
2020-03-15T11:13:00+00:00,344
2020-03-15T11:14:00+00:00,392
2020-03-15T11:15:00+00:00,435
2020-03-15T11:16:00+00:00,476
2020-03-15T11:17:00+00:00,465
2020-03-15T11:18:00+00:00,467
2020-03-15T11:19:00+00:00,464
2020-03-15T11:20:00+00:00,474
2020-03-15T11:21:00+00:00,486
2020-03-15T11:22:00+00:00,410
2020-03-15T11:23:00+00:00,355
2020-03-15T11:24:00+00:00,291
2020-03-15T11:25:00+00:00,240
2020-03-15T11:26:00+00:00,216
2020-03-15T11:27:00+00:00,193
2020-03-15T11:28:00+00:00,208
2020-03-15T11:29:00+00:00,230
2020-03-15T11:30:00+00:00,250
2020-03-15T11:31:00+00:00,305
2020-03-15T11:32:00+00:00,319
2020-03-15T11:33:00+00:00,313
2020-03-15T11:34:00+00:00,355
2020-03-15T11:35:00+00:00,363
2020-03-15T11:36:00+00:00,394
2020-03-15T11:37:00+00:00,420
2020-03-15T11:38:00+00:00,406
2020-03-15T11:39:00+00:00,384
2020-03-15T11:40:00+00:00,384
2020-03-15T11:41:00+00:00,379
2020-03-15T11:42:00+00:00,367
2020-03-15T11:43:00+00:00,351
2020-03-15T11:44:00+00:00,339
2020-03-15T11:45:00+00:00,321
2020-03-15T11:46:00+00:00,331
2020-03-15T11:47:00+00:00,360
2020-03-15T11:48:00+00:00,343
2020-03-15T11:49:00+00:00,324
2020-03-15T11:50:00+00:00,325
2020-03-15T11:51:00+00:00,340
2020-03-15T11:52:00+00:00,341
2020-03-15T11:53:00+00:00,309
2020-03-15T11:54:00+00:00,299
2020-03-15T11:55:00+00:00,251
2020-03-15T11:56:00+00:00,228
2020-03-15T11:57:00+00:00,251
2020-03-15T11:58:00+00:00,267
2020-03-15T11:59:00+00:00,263
2020-03-15T12:00:00+00:00,261
2020-03-15T12:01:00+00:00,308
2020-03-15T12:02:00+00:00,350
2020-03-15T12:03:00+00:00,347
2020-03-15T12:04:00+00:00,281
2020-03-15T12:05:00+00:00,272
2020-03-15T12:06:00+00:00,301
2020-03-15T12:07:00+00:00,320
2020-03-15T12:08:00+00:00,328
2020-03-15T12:09:00+00:00,352
2020-03-15T12:10:00+00:00,366
2020-03-15T12:11:00+00:00,369
2020-03-15T12:12:00+00:00,379
2020-03-15T12:13:00+00:00,388
2020-03-15T12:14:00+00:00,381
2020-03-15T12:15:00+00:00,337
2020-03-15T12:16:00+00:00,270
2020-03-15T12:17:00+00:00,203
2020-03-15T12:18:00+00:00,157
2020-03-15T12:19:00+00:00,148
2020-03-15T12:20:00+00:00,167
2020-03-15T12:21:00+00:00,176
2020-03-15T12:22:00+00:00,185
2020-03-15T12:23:00+00:00,250
2020-03-15T12:24:00+00:00,274
2020-03-15T12:25:00+00:00,302
2020-03-15T12:26:00+00:00,355
2020-03-15T12:27:00+00:00,449
2020-03-15T12:28:00+00:00,464
2020-03-15T12:29:00+00:00,401
2020-03-15T12:30:00+00:00,410
2020-03-15T12:31:00+00:00,424
2020-03-15T12:32:00+00:00,447
2020-03-15T12:33:00+00:00,456
2020-03-15T12:34:00+00:00,448
2020-03-15T12:35:00+00:00,419
2020-03-15T12:36:00+00:00,368
2020-03-15T12:37:00+00:00,362
2020-03-15T12:38:00+00:00,368
2020-03-15T12:39:00+00:00,432
2020-03-15T12:40:00+00:00,476
2020-03-15T12:41:00+00:00,427
2020-03-15T12:42:00+00:00,483
2020-03-15T12:43:00+00:00,617
2020-03-15T12:44:00+00:00,733
2020-03-15T12:45:00+00:00,718
2020-03-15T12:46:00+00:00,712
2020-03-15T12:47:00+00:00,677
2020-03-15T12:48:00+00:00,600
2020-03-15T12:49:00+00:00,569
2020-03-15T12:50:00+00:00,572
2020-03-15T12:51:00+00:00,609
2020-03-15T12:52:00+00:00,667
2020-03-15T12:53:00+00:00,668
2020-03-15T12:54:00+00:00,704
2020-03-15T12:55:00+00:00,855
2020-03-15T12:56:00+00:00,778
2020-03-15T12:57:00+00:00,783
2020-03-15T12:58:00+00:00,703
2020-03-15T12:59:00+00:00,599
2020-03-15T13:00:00+00:00,568
2020-03-15T13:01:00+00:00,409
2020-03-15T13:02:00+00:00,343
2020-03-15T13:03:00+00:00,327
2020-03-15T13:04:00+00:00,317
2020-03-15T13:05:00+00:00,315
2020-03-15T13:06:00+00:00,319
2020-03-15T13:07:00+00:00,362
2020-03-15T13:08:00+00:00,397
2020-03-15T13:09:00+00:00,464
2020-03-15T13:10:00+00:00,485
2020-03-15T13:11:00+00:00,535
2020-03-15T13:12:00+00:00,614
2020-03-15T13:13:00+00:00,556
2020-03-15T13:14:00+00:00,646
2020-03-15T13:15:00+00:00,847
2020-03-15T13:16:00+00:00,1161
2020-03-15T13:17:00+00:00,1731
2020-03-15T13:18:00+00:00,1749
2020-03-15T13:19:00+00:00,1938
2020-03-15T13:20:00+00:00,1948
2020-03-15T13:21:00+00:00,2074
2020-03-15T13:22:00+00:00,2229
2020-03-15T13:23:00+00:00,
2020-03-15T13:24:00+00:00,624
2020-03-15T13:25:00+00:00,777
2020-03-15T13:26:00+00:00,1530
2020-03-15T13:27:00+00:00,1329
2020-03-15T13:28:00+00:00,1074
2020-03-15T13:29:00+00:00,
2020-03-15T13:30:00+00:00,615
2020-03-15T13:31:00+00:00,
2020-03-15T13:32:00+00:00,1658
2020-03-15T13:33:00+00:00,1680
2020-03-15T13:34:00+00:00,738
2020-03-15T13:35:00+00:00,661
2020-03-15T13:36:00+00:00,551
2020-03-15T13:37:00+00:00,730
2020-03-15T13:38:00+00:00,626
2020-03-15T13:39:00+00:00,842
2020-03-15T13:40:00+00:00,1184
2020-03-15T13:41:00+00:00,1360
2020-03-15T13:42:00+00:00,1658
2020-03-15T13:43:00+00:00,1769
2020-03-15T13:44:00+00:00,1867
2020-03-15T13:45:00+00:00,1431
2020-03-15T13:46:00+00:00,955
2020-03-15T13:47:00+00:00,827
2020-03-15T13:48:00+00:00,678
2020-03-15T13:49:00+00:00,903
2020-03-15T13:50:00+00:00,1836
2020-03-15T13:51:00+00:00,1618
2020-03-15T13:52:00+00:00,1581
2020-03-15T13:53:00+00:00,788
