"Date-time string", "solar:solar", "grid:Grid import export RAW"
2018-06-10 07:00:00, 167.0, 19
2018-06-10 07:01:00, 170.0, 18
2018-06-10 07:02:00, 168.0, 23
2018-06-10 07:03:00, 160.0, 20
2018-06-10 07:04:00, 163.0, 18
2018-06-10 07:05:00, 161.0, 29
2018-06-10 07:06:00, 156.0, 20
2018-06-10 07:07:00, 157.0, 33
2018-06-10 07:08:00, 157.0, 27
2018-06-10 07:09:00, 160.0, 30
2018-06-10 07:10:00, 173.0, 19
2018-06-10 07:11:00, 176.0, 7
2018-06-10 07:12:00, 184.0, 1
2018-06-10 07:13:00, 191.0, -6
2018-06-10 07:14:00, 196.0, -7
2018-06-10 07:15:00, 202.0, -15
2018-06-10 07:16:00, 208.0, -26
2018-06-10 07:17:00, 216.0, -33
2018-06-10 07:18:00, 228.0, -48
2018-06-10 07:19:00, 231.0, -45
2018-06-10 07:20:00, 235.0, -43
2018-06-10 07:21:00, 220.0, -44
2018-06-10 07:22:00, 264.0, -76
2018-06-10 07:23:00, 346.0, -159
2018-06-10 07:24:00, 403.0, -212
2018-06-10 07:25:00, 306.0, -130
2018-06-10 07:26:00, 322.0, -148
2018-06-10 07:27:00, 438.0, -252
2018-06-10 07:28:00, 553.0, -373
2018-06-10 07:29:00, 756.0, -579
2018-06-10 07:30:00, 649.0, -462
2018-06-10 07:31:00, 498.0, -311
2018-06-10 07:32:00, 649.0, -472
2018-06-10 07:33:00, 702.0, -520
2018-06-10 07:34:00, 830.0, -574
2018-06-10 07:35:00, 803.0, -536
2018-06-10 07:36:00, 854.0, -605
2018-06-10 07:37:00, 936.0, -673
2018-06-10 07:38:00, 967.0, -715
2018-06-10 07:39:00, 987.0, -735
2018-06-10 07:40:00, 1009.0, -738
2018-06-10 07:41:00, 1000.0, -765
2018-06-10 07:42:00, 1035.0, -786
2018-06-10 07:43:00, 1104.0, -855
2018-06-10 07:44:00, 1135.0, -896
2018-06-10 07:45:00, 1157.0, -915
2018-06-10 07:46:00, 1075.0, -888
2018-06-10 07:47:00, 1190.0, -1008
2018-06-10 07:48:00, 1162.0, -996
2018-06-10 07:49:00, 1114.0, -944
2018-06-10 07:50:00, 1119.0, -946
2018-06-10 07:51:00, 1191.0, -1024
2018-06-10 07:52:00, 1236.0, -1056
2018-06-10 07:53:00, 1257.0, -1081
2018-06-10 07:54:00, 1284.0, -1107
2018-06-10 07:55:00, 1291.0, -1124
2018-06-10 07:56:00, 1318.0, -1147
2018-06-10 07:57:00, 1360.0, -1174
2018-06-10 07:58:00, 1378.0, -1210
2018-06-10 07:59:00, 1388.0, -1230
2018-06-10 08:00:00, 1440.0, -1244
2018-06-10 08:01:00, 1431.0, -1196
2018-06-10 08:02:00, 1463.0, -1292
2018-06-10 08:03:00, 1459.0, -1273
2018-06-10 08:04:00, 1430.0, -1289
2018-06-10 08:05:00, 1474.0, -1297
2018-06-10 08:06:00, 1483.0, -1322
2018-06-10 08:07:00, 1477.0, -1275
2018-06-10 08:08:00, 1459.0, -1270
2018-06-10 08:09:00, 1486.0, -1312
2018-06-10 08:10:00, 1497.0, -1318
2018-06-10 08:11:00, 1448.0, -1275
2018-06-10 08:12:00, 1329.0, -1163
2018-06-10 08:13:00, 1345.0, -1184
2018-06-10 08:14:00, 1289.0, -1115
2018-06-10 08:15:00, 1292.0, -1099
2018-06-10 08:16:00, 1291.0, -1098
2018-06-10 08:17:00, null, null
2018-06-10 08:18:00, 1333.0, -1154
2018-06-10 08:19:00, 1298.0, -1105
2018-06-10 08:20:00, 1450.0, -1256
2018-06-10 08:21:00, 1490.0, -1278
