TimeStamp;Live_Power;EVSE_Current_power;shaper_max_power;Charging_Current;Current_Capacity;FirmWare
17/12/2023 13:25:00;1055.75000000000;0;8400;0;31;V4.2.2
17/12/2023 13:25:01;1055.75000000000;0;8400;0;31;V4.2.2
17/12/2023 13:25:02;1055.75000000000;0;8400;0;31;V4.2.2
17/12/2023 13:25:03;1055.75000000000;0;8400;0;31;V4.2.2
17/12/2023 13:25:04;1055.75000000000;0;8400;0;31;V4.2.2
17/12/2023 13:25:05;1055.75000000000;0;8400;0;31;V4.2.2
17/12/2023 13:25:06;1055.75000000000;0;8400;0;31;V4.2.2
17/12/2023 13:25:07;1275.57000000000;0;8400;0;31;V4.2.2
17/12/2023 13:25:08;1275.57000000000;0;8400;0;30;V4.2.2
17/12/2023 13:25:09;1275.57000000000;0;8400;0;30;V4.2.2
17/12/2023 13:25:10;1339.26000000000;0;8400;0;30;V4.2.2
17/12/2023 13:25:11;1339.26000000000;0;8400;0;30;V4.2.2
17/12/2023 13:25:12;1113.30000000000;0;8400;0;29;V4.2.2
17/12/2023 13:25:13;1113.30000000000;0;8400;0;29;V4.2.2
17/12/2023 13:25:14;1257.81000000000;0;8400;0;30;V4.2.2
17/12/2023 13:25:15;1257.81000000000;0;8400;0;30;V4.2.2
17/12/2023 13:25:16;1434.52000000000;0;8400;0;30;V4.2.2
17/12/2023 13:25:17;1434.52000000000;0;8400;0;30;V4.2.2
17/12/2023 13:25:18;1616.78000000000;0;8400;0;28;V4.2.2
17/12/2023 13:25:19;1616.78000000000;0;8400;0;28;V4.2.2
17/12/2023 13:25:20;1818.11000000000;0;8400;0;28;V4.2.2
17/12/2023 13:25:21;1818.11000000000;0;8400;0;28;V4.2.2
17/12/2023 13:25:22;1899.55000000000;0;8400;0;27;V4.2.2
17/12/2023 13:25:23;1899.55000000000;0;8400;0;27;V4.2.2
17/12/2023 13:25:24;1974.30000000000;0;8400;0;27;V4.2.2
17/12/2023 13:25:25;1974.30000000000;0;8400;0;27;V4.2.2
17/12/2023 13:25:26;2069.65000000000;0;8400;0;27;V4.2.2
17/12/2023 13:25:27;2095.11000000000;0;8400;0;27;V4.2.2
17/12/2023 13:25:28;2095.11000000000;0;8400;0;26;V4.2.2
17/12/2023 13:25:29;2095.11000000000;0;8400;0;26;V4.2.2
17/12/2023 13:25:30;2095.11000000000;0;8400;0;26;V4.2.2
17/12/2023 13:25:31;2095.11000000000;0;8400;0;26;V4.2.2
17/12/2023 13:25:32;2095.11000000000;0;8400;0;26;V4.2.2
17/12/2023 13:25:33;2095.11000000000;0;8400;0;26;V4.2.2
17/12/2023 13:25:34;2095.11000000000;0;8400;0;26;V4.2.2
17/12/2023 13:25:35;2095.11000000000;0;8400;0;26;V4.2.2
17/12/2023 13:25:36;2095.11000000000;0;8400;0;26;V4.2.2
17/12/2023 13:25:37;2095.11000000000;0;8400;0;26;V4.2.2
17/12/2023 13:25:38;2095.11000000000;0;8400;0;26;V4.2.2
17/12/2023 13:25:39;2165.01000000000;0;8400;0;26;V4.2.2
17/12/2023 13:25:40;2165.01000000000;0;8400;0;26;V4.2.2
17/12/2023 13:25:41;2165.01000000000;0;8400;0;26;V4.2.2
17/12/2023 13:25:42;2165.01000000000;0;8400;0;26;V4.2.2
