"Date-time string","solar:solar ()"
2019-09-18T05:55:00+00:00,6
2019-09-18T05:56:00+00:00,7
2019-09-18T05:57:00+00:00,8
2019-09-18T05:58:00+00:00,4
2019-09-18T05:59:00+00:00,5
2019-09-18T06:00:00+00:00,7
2019-09-18T06:01:00+00:00,
2019-09-18T06:02:00+00:00,8
2019-09-18T06:03:00+00:00,7
2019-09-18T06:04:00+00:00,5
2019-09-18T06:05:00+00:00,7
2019-09-18T06:06:00+00:00,7
2019-09-18T06:07:00+00:00,7
2019-09-18T06:08:00+00:00,6
2019-09-18T06:09:00+00:00,6
2019-09-18T06:10:00+00:00,5
2019-09-18T06:11:00+00:00,5
2019-09-18T06:12:00+00:00,8
2019-09-18T06:13:00+00:00,8
2019-09-18T06:14:00+00:00,3
2019-09-18T06:15:00+00:00,6
2019-09-18T06:16:00+00:00,7
2019-09-18T06:17:00+00:00,5
2019-09-18T06:18:00+00:00,5
2019-09-18T06:19:00+00:00,6
2019-09-18T06:20:00+00:00,7
2019-09-18T06:21:00+00:00,4
2019-09-18T06:22:00+00:00,6
2019-09-18T06:23:00+00:00,6
2019-09-18T06:24:00+00:00,6
2019-09-18T06:25:00+00:00,7
2019-09-18T06:26:00+00:00,7
2019-09-18T06:27:00+00:00,6
2019-09-18T06:28:00+00:00,5
2019-09-18T06:29:00+00:00,7
2019-09-18T06:30:00+00:00,6
2019-09-18T06:31:00+00:00,6
2019-09-18T06:32:00+00:00,-19
2019-09-18T06:33:00+00:00,24
2019-09-18T06:34:00+00:00,22
2019-09-18T06:35:00+00:00,26
2019-09-18T06:36:00+00:00,34
2019-09-18T06:37:00+00:00,25
2019-09-18T06:38:00+00:00,34
2019-09-18T06:39:00+00:00,30
2019-09-18T06:40:00+00:00,33
2019-09-18T06:41:00+00:00,30
2019-09-18T06:42:00+00:00,23
2019-09-18T06:43:00+00:00,35
2019-09-18T06:44:00+00:00,
2019-09-18T06:45:00+00:00,34
2019-09-18T06:46:00+00:00,35
2019-09-18T06:47:00+00:00,40
2019-09-18T06:48:00+00:00,45
2019-09-18T06:49:00+00:00,23
2019-09-18T06:50:00+00:00,45
2019-09-18T06:51:00+00:00,52
2019-09-18T06:52:00+00:00,44
2019-09-18T06:53:00+00:00,41
2019-09-18T06:54:00+00:00,51
2019-09-18T06:55:00+00:00,50
2019-09-18T06:56:00+00:00,54
2019-09-18T06:57:00+00:00,49
2019-09-18T06:58:00+00:00,44
2019-09-18T06:59:00+00:00,60
2019-09-18T07:00:00+00:00,52
2019-09-18T07:01:00+00:00,60
2019-09-18T07:02:00+00:00,63
2019-09-18T07:03:00+00:00,66
2019-09-18T07:04:00+00:00,70
2019-09-18T07:05:00+00:00,67
2019-09-18T07:06:00+00:00,65
2019-09-18T07:07:00+00:00,63
2019-09-18T07:08:00+00:00,68
2019-09-18T07:09:00+00:00,65
2019-09-18T07:10:00+00:00,77
2019-09-18T07:11:00+00:00,84
2019-09-18T07:12:00+00:00,91
2019-09-18T07:13:00+00:00,91
2019-09-18T07:14:00+00:00,99
2019-09-18T07:15:00+00:00,93
2019-09-18T07:16:00+00:00,95
2019-09-18T07:17:00+00:00,102
2019-09-18T07:18:00+00:00,101
2019-09-18T07:19:00+00:00,102
2019-09-18T07:20:00+00:00,100
2019-09-18T07:21:00+00:00,100
2019-09-18T07:22:00+00:00,102
2019-09-18T07:23:00+00:00,98
2019-09-18T07:24:00+00:00,103
2019-09-18T07:25:00+00:00,108
2019-09-18T07:26:00+00:00,105
2019-09-18T07:27:00+00:00,105
2019-09-18T07:28:00+00:00,96
2019-09-18T07:29:00+00:00,104
2019-09-18T07:30:00+00:00,102
2019-09-18T07:31:00+00:00,106
2019-09-18T07:32:00+00:00,99
2019-09-18T07:33:00+00:00,111
2019-09-18T07:34:00+00:00,103
2019-09-18T07:35:00+00:00,104
2019-09-18T07:36:00+00:00,102
2019-09-18T07:37:00+00:00,102
2019-09-18T07:38:00+00:00,104
2019-09-18T07:39:00+00:00,
2019-09-18T07:40:00+00:00,111
2019-09-18T07:41:00+00:00,108
2019-09-18T07:42:00+00:00,112
2019-09-18T07:43:00+00:00,118
2019-09-18T07:44:00+00:00,113
2019-09-18T07:45:00+00:00,117
2019-09-18T07:46:00+00:00,126
2019-09-18T07:47:00+00:00,123
2019-09-18T07:48:00+00:00,122
2019-09-18T07:49:00+00:00,
2019-09-18T07:50:00+00:00,122
2019-09-18T07:51:00+00:00,127
2019-09-18T07:52:00+00:00,128
2019-09-18T07:53:00+00:00,135
2019-09-18T07:54:00+00:00,135
2019-09-18T07:55:00+00:00,136
2019-09-18T07:56:00+00:00,138
2019-09-18T07:57:00+00:00,140
2019-09-18T07:58:00+00:00,143
2019-09-18T07:59:00+00:00,150
2019-09-18T08:00:00+00:00,151
2019-09-18T08:01:00+00:00,149
2019-09-18T08:02:00+00:00,153
2019-09-18T08:03:00+00:00,163
2019-09-18T08:04:00+00:00,170
2019-09-18T08:05:00+00:00,172
2019-09-18T08:06:00+00:00,180
2019-09-18T08:07:00+00:00,195
2019-09-18T08:08:00+00:00,215
2019-09-18T08:09:00+00:00,225
2019-09-18T08:10:00+00:00,239
2019-09-18T08:11:00+00:00,252
2019-09-18T08:12:00+00:00,302
2019-09-18T08:13:00+00:00,607
2019-09-18T08:14:00+00:00,1064
2019-09-18T08:15:00+00:00,1344
2019-09-18T08:16:00+00:00,1502
2019-09-18T08:17:00+00:00,1576
2019-09-18T08:18:00+00:00,1641
2019-09-18T08:19:00+00:00,1723
2019-09-18T08:20:00+00:00,1764
2019-09-18T08:21:00+00:00,1796
2019-09-18T08:22:00+00:00,1807
2019-09-18T08:23:00+00:00,1808
2019-09-18T08:24:00+00:00,1824
2019-09-18T08:25:00+00:00,1811
2019-09-18T08:26:00+00:00,1831
2019-09-18T08:27:00+00:00,1843
2019-09-18T08:28:00+00:00,1821
2019-09-18T08:29:00+00:00,1824
2019-09-18T08:30:00+00:00,1846
2019-09-18T08:31:00+00:00,1865
2019-09-18T08:32:00+00:00,1817
2019-09-18T08:33:00+00:00,1821
2019-09-18T08:34:00+00:00,1844
