"Date-time string","solar:solar ()"
2020-03-16T09:26:00+00:00,1740
2020-03-16T09:27:00+00:00,1840
2020-03-16T09:28:00+00:00,2068
2020-03-16T09:29:00+00:00,2290
2020-03-16T09:30:00+00:00,2343
2020-03-16T09:31:00+00:00,2230
2020-03-16T09:32:00+00:00,2319
2020-03-16T09:33:00+00:00,1780
2020-03-16T09:34:00+00:00,2273
2020-03-16T09:35:00+00:00,394
2020-03-16T09:36:00+00:00,378
2020-03-16T09:37:00+00:00,406
2020-03-16T09:38:00+00:00,2217
2020-03-16T09:39:00+00:00,353
2020-03-16T09:40:00+00:00,371
2020-03-16T09:41:00+00:00,341
2020-03-16T09:42:00+00:00,302
2020-03-16T09:43:00+00:00,289
2020-03-16T09:44:00+00:00,301
2020-03-16T09:45:00+00:00,322
2020-03-16T09:46:00+00:00,426
2020-03-16T09:47:00+00:00,479
2020-03-16T09:48:00+00:00,
2020-03-16T09:49:00+00:00,489
2020-03-16T09:50:00+00:00,447
2020-03-16T09:51:00+00:00,488
2020-03-16T09:52:00+00:00,492
2020-03-16T09:53:00+00:00,458
2020-03-16T09:54:00+00:00,483
2020-03-16T09:55:00+00:00,484
2020-03-16T09:56:00+00:00,409
2020-03-16T09:57:00+00:00,335
2020-03-16T09:58:00+00:00,289
2020-03-16T09:59:00+00:00,260
2020-03-16T10:00:00+00:00,249
2020-03-16T10:01:00+00:00,267
2020-03-16T10:02:00+00:00,173
2020-03-16T10:03:00+00:00,139
2020-03-16T10:04:00+00:00,145
2020-03-16T10:05:00+00:00,293
2020-03-16T10:06:00+00:00,587
2020-03-16T10:07:00+00:00,2084
2020-03-16T10:08:00+00:00,2407
2020-03-16T10:09:00+00:00,2994
2020-03-16T10:10:00+00:00,2925
2020-03-16T10:11:00+00:00,2679
2020-03-16T10:12:00+00:00,663
2020-03-16T10:13:00+00:00,1118
2020-03-16T10:14:00+00:00,2912
2020-03-16T10:15:00+00:00,791
2020-03-16T10:16:00+00:00,2071
2020-03-16T10:17:00+00:00,809
2020-03-16T10:18:00+00:00,2853
2020-03-16T10:19:00+00:00,2841
2020-03-16T10:20:00+00:00,2428
2020-03-16T10:21:00+00:00,2675
2020-03-16T10:22:00+00:00,2462
2020-03-16T10:23:00+00:00,2729
2020-03-16T10:24:00+00:00,2631
2020-03-16T10:25:00+00:00,1188
2020-03-16T10:26:00+00:00,2742
2020-03-16T10:27:00+00:00,2796
2020-03-16T10:28:00+00:00,2663
2020-03-16T10:29:00+00:00,2904
2020-03-16T10:30:00+00:00,2859
2020-03-16T10:31:00+00:00,2863
2020-03-16T10:32:00+00:00,2779
2020-03-16T10:33:00+00:00,1839
2020-03-16T10:34:00+00:00,2663
2020-03-16T10:35:00+00:00,2668
2020-03-16T10:36:00+00:00,2652
2020-03-16T10:37:00+00:00,2657
2020-03-16T10:38:00+00:00,2585
2020-03-16T10:39:00+00:00,2555
2020-03-16T10:40:00+00:00,2653
2020-03-16T10:41:00+00:00,2713
2020-03-16T10:42:00+00:00,2304
2020-03-16T10:43:00+00:00,982
2020-03-16T10:44:00+00:00,771
2020-03-16T10:45:00+00:00,917
2020-03-16T10:46:00+00:00,2440
2020-03-16T10:47:00+00:00,2760
2020-03-16T10:48:00+00:00,2648
2020-03-16T10:49:00+00:00,
2020-03-16T10:50:00+00:00,2545
2020-03-16T10:51:00+00:00,1405
2020-03-16T10:52:00+00:00,2512
2020-03-16T10:53:00+00:00,2585
2020-03-16T10:54:00+00:00,2630
2020-03-16T10:55:00+00:00,2683
2020-03-16T10:56:00+00:00,1622
2020-03-16T10:57:00+00:00,2674
2020-03-16T10:58:00+00:00,2601
2020-03-16T10:59:00+00:00,2474
2020-03-16T11:00:00+00:00,2446
2020-03-16T11:01:00+00:00,2433
2020-03-16T11:02:00+00:00,2484
2020-03-16T11:03:00+00:00,2436
2020-03-16T11:04:00+00:00,2436
2020-03-16T11:05:00+00:00,2438
2020-03-16T11:06:00+00:00,2395
2020-03-16T11:07:00+00:00,2418
2020-03-16T11:08:00+00:00,2480
2020-03-16T11:09:00+00:00,2495
2020-03-16T11:10:00+00:00,2579
2020-03-16T11:11:00+00:00,2555
2020-03-16T11:12:00+00:00,2497
2020-03-16T11:13:00+00:00,1232
2020-03-16T11:14:00+00:00,2540
2020-03-16T11:15:00+00:00,2607
2020-03-16T11:16:00+00:00,2594
2020-03-16T11:17:00+00:00,1358
2020-03-16T11:18:00+00:00,2502
2020-03-16T11:19:00+00:00,2503
2020-03-16T11:20:00+00:00,2531
2020-03-16T11:21:00+00:00,2598
2020-03-16T11:22:00+00:00,2551
2020-03-16T11:23:00+00:00,2417
2020-03-16T11:24:00+00:00,2363
2020-03-16T11:25:00+00:00,2416
2020-03-16T11:26:00+00:00,2528
2020-03-16T11:27:00+00:00,2579
2020-03-16T11:28:00+00:00,2464
2020-03-16T11:29:00+00:00,2493
2020-03-16T11:30:00+00:00,2476
2020-03-16T11:31:00+00:00,2362
2020-03-16T11:32:00+00:00,2319
2020-03-16T11:33:00+00:00,2492
2020-03-16T11:34:00+00:00,2444
2020-03-16T11:35:00+00:00,2551
2020-03-16T11:36:00+00:00,1840
2020-03-16T11:37:00+00:00,2523
2020-03-16T11:38:00+00:00,2489
2020-03-16T11:39:00+00:00,2554
2020-03-16T11:40:00+00:00,2536
2020-03-16T11:41:00+00:00,2544
2020-03-16T11:42:00+00:00,2559
2020-03-16T11:43:00+00:00,2466
2020-03-16T11:44:00+00:00,2459
2020-03-16T11:45:00+00:00,2300
2020-03-16T11:46:00+00:00,2467
2020-03-16T11:47:00+00:00,2520
2020-03-16T11:48:00+00:00,2526
2020-03-16T11:49:00+00:00,2342
2020-03-16T11:50:00+00:00,2283
2020-03-16T11:51:00+00:00,2398
2020-03-16T11:52:00+00:00,2528
2020-03-16T11:53:00+00:00,2562
2020-03-16T11:54:00+00:00,2521
2020-03-16T11:55:00+00:00,2430
2020-03-16T11:56:00+00:00,608
2020-03-16T11:57:00+00:00,1961
2020-03-16T11:58:00+00:00,2490
2020-03-16T11:59:00+00:00,2343
2020-03-16T12:00:00+00:00,1002
2020-03-16T12:01:00+00:00,1801
2020-03-16T12:02:00+00:00,2302
2020-03-16T12:03:00+00:00,1709
2020-03-16T12:04:00+00:00,2320
2020-03-16T12:05:00+00:00,1991
2020-03-16T12:06:00+00:00,1686
2020-03-16T12:07:00+00:00,2149
2020-03-16T12:08:00+00:00,2116
2020-03-16T12:09:00+00:00,2079
2020-03-16T12:10:00+00:00,2061
2020-03-16T12:11:00+00:00,2010
2020-03-16T12:12:00+00:00,1888
2020-03-16T12:13:00+00:00,1688
2020-03-16T12:14:00+00:00,1723
2020-03-16T12:15:00+00:00,1889
2020-03-16T12:16:00+00:00,1930
2020-03-16T12:17:00+00:00,2033
2020-03-16T12:18:00+00:00,1984
2020-03-16T12:19:00+00:00,2077
2020-03-16T12:20:00+00:00,2056
2020-03-16T12:21:00+00:00,2144
2020-03-16T12:22:00+00:00,2249
2020-03-16T12:23:00+00:00,2171
2020-03-16T12:24:00+00:00,2066
2020-03-16T12:25:00+00:00,
2020-03-16T12:26:00+00:00,888
2020-03-16T12:27:00+00:00,1144
2020-03-16T12:28:00+00:00,1060
2020-03-16T12:29:00+00:00,1354
2020-03-16T12:30:00+00:00,2095
2020-03-16T12:31:00+00:00,2081
2020-03-16T12:32:00+00:00,1019
2020-03-16T12:33:00+00:00,840
2020-03-16T12:34:00+00:00,1477
2020-03-16T12:35:00+00:00,1035
2020-03-16T12:36:00+00:00,1481
2020-03-16T12:37:00+00:00,1622
