"Date-time string", "solar:solar", "grid:Grid import export RAW"
2019-03-30 07:03:00, 51.0, 201
2019-03-30 07:04:00, 54.0, 208
2019-03-30 07:05:00, 43.0, 207
2019-03-30 07:06:00, 44.0, 129
2019-03-30 07:07:00, 49.0, 142
2019-03-30 07:08:00, 56.0, 132
2019-03-30 07:09:00, 52.0, 129
2019-03-30 07:10:00, 57.0, 132
2019-03-30 07:11:00, 57.0, 125
2019-03-30 07:12:00, 49.0, 139
2019-03-30 07:13:00, 55.0, 141
2019-03-30 07:14:00, 51.0, 135
2019-03-30 07:15:00, 60.0, 134
2019-03-30 07:16:00, 65.0, 128
2019-03-30 07:17:00, 67.0, 131
2019-03-30 07:18:00, 77.0, 112
2019-03-30 07:19:00, 74.0, 106
2019-03-30 07:20:00, 83.0, 96
2019-03-30 07:21:00, 88.0, 92
2019-03-30 07:22:00, 94.0, 77
2019-03-30 07:23:00, 103.0, 81
2019-03-30 07:24:00, 107.0, 61
2019-03-30 07:25:00, 106.0, 51
2019-03-30 07:26:00, 120.0, 53
2019-03-30 07:27:00, 119.0, 37
2019-03-30 07:28:00, 124.0, 49
2019-03-30 07:29:00, 130.0, 50
2019-03-30 07:30:00, 117.0, 38
2019-03-30 07:31:00, 114.0, 45
2019-03-30 07:32:00, 107.0, 51
2019-03-30 07:33:00, 112.0, 56
2019-03-30 07:34:00, 117.0, 53
2019-03-30 07:35:00, 111.0, 80
2019-03-30 07:36:00, 112.0, 58
2019-03-30 07:37:00, 110.0, 59
2019-03-30 07:38:00, 113.0, 52
2019-03-30 07:39:00, 103.0, 59
2019-03-30 07:40:00, 104.0, 62
2019-03-30 07:41:00, 121.0, 55
2019-03-30 07:42:00, 115.0, 58
2019-03-30 07:43:00, 105.0, 52
2019-03-30 07:44:00, 115.0, 50
2019-03-30 07:45:00, 109.0, 49
2019-03-30 07:46:00, 112.0, 85
2019-03-30 07:47:00, 117.0, 78
2019-03-30 07:48:00, 115.0, 56
2019-03-30 07:49:00, 117.0, 49
2019-03-30 07:50:00, 116.0, 48
2019-03-30 07:51:00, 119.0, 53
2019-03-30 07:52:00, 122.0, 41
2019-03-30 07:53:00, 129.0, 32
2019-03-30 07:54:00, 123.0, 24
2019-03-30 07:55:00, 134.0, 25
2019-03-30 07:56:00, 133.0, 18
2019-03-30 07:57:00, 144.0, 23
2019-03-30 07:58:00, 150.0, 15
2019-03-30 07:59:00, 163.0, 4
2019-03-30 08:00:00, 162.0, 9
2019-03-30 08:01:00, 175.0, 0
2019-03-30 08:02:00, 181.0, -7
2019-03-30 08:03:00, 190.0, 12
2019-03-30 08:04:00, 199.0, 5
2019-03-30 08:05:00, 202.0, 8
2019-03-30 08:06:00, 229.0, -7
2019-03-30 08:07:00, 238.0, 2
2019-03-30 08:08:00, 261.0, -5
2019-03-30 08:09:00, 282.0, 2
2019-03-30 08:10:00, 279.0, -10
2019-03-30 08:11:00, 299.0, 1
2019-03-30 08:12:00, 308.0, -2
2019-03-30 08:13:00, 308.0, -5
2019-03-30 08:14:00, 325.0, 4
2019-03-30 08:15:00, 332.0, -3
2019-03-30 08:16:00, 342.0, -5
2019-03-30 08:17:00, 337.0, -8
2019-03-30 08:18:00, 333.0, 12
2019-03-30 08:19:00, 355.0, -16
2019-03-30 08:20:00, 390.0, -2
2019-03-30 08:21:00, 400.0, -11
2019-03-30 08:22:00, 408.0, -2
2019-03-30 08:23:00, 414.0, 18
2019-03-30 08:24:00, 405.0, 22
2019-03-30 08:25:00, 432.0, 25
2019-03-30 08:26:00, 449.0, 25
2019-03-30 08:27:00, 452.0, 17
2019-03-30 08:28:00, 522.0, 30
2019-03-30 08:29:00, 469.0, -1
2019-03-30 08:30:00, 536.0, -51
2019-03-30 08:31:00, 548.0, 9
2019-03-30 08:32:00, 456.0, -2
2019-03-30 08:33:00, 550.0, 31
2019-03-30 08:34:00, 506.0, -8
2019-03-30 08:35:00, 518.0, 37
2019-03-30 08:36:00, 520.0, -50
2019-03-30 08:37:00, 517.0, -9
2019-03-30 08:38:00, 476.0, 0
2019-03-30 08:39:00, 493.0, -6
2019-03-30 08:40:00, 531.0, -2
2019-03-30 08:41:00, 722.0, -6
2019-03-30 08:42:00, 643.0, -7
2019-03-30 08:43:00, 1417.0, 8
2019-03-30 08:44:00, 694.0, 2
2019-03-30 08:45:00, 617.0, 5
2019-03-30 08:46:00, 582.0, -19
2019-03-30 08:47:00, 591.0, 3
2019-03-30 08:48:00, 743.0, -25
2019-03-30 08:49:00, 761.0, -5
2019-03-30 08:50:00, 614.0, -16
2019-03-30 08:51:00, 589.0, -37
2019-03-30 08:52:00, 557.0, -11
2019-03-30 08:53:00, 561.0, 37
2019-03-30 08:54:00, 607.0, 14
2019-03-30 08:55:00, 858.0, 4
2019-03-30 08:56:00, 595.0, 31
2019-03-30 08:57:00, 795.0, 0
2019-03-30 08:58:00, 907.0, 21
2019-03-30 08:59:00, 1748.0, -18
2019-03-30 09:00:00, 2393.0, 11
2019-03-30 09:01:00, 2256.0, 12
