Date,Solar,Grid IE,Pilot,Charge Power,Min Charge Power,State,Smoothed Available,Live Power,Smoother Live Power,Shapper Max Power
17/12/2023 13:26:13,0,0,0,0,1440,2,0,2825,2825,5000
17/12/2023 13:26:14,0,0,0,0,1440,2,0,2825,2825,5000
17/12/2023 13:26:15,0,0,0,0,1440,2,0,2825,2825,5000
17/12/2023 13:26:16,0,0,0,0,1440,2,0,2825,2825,5000
17/12/2023 13:26:17,0,0,0,0,1440,2,0,2825,2825,5000
17/12/2023 13:26:18,0,0,0,0,1440,2,0,2825,2825,5000
17/12/2023 13:26:19,0,0,0,0,1440,2,0,2825,2825,5000
17/12/2023 13:26:20,0,0,0,0,1440,2,0,2825,2825,5000
17/12/2023 13:26:21,0,0,0,0,1440,2,0,2825,2825,5000
17/12/2023 13:26:22,0,0,0,0,1440,2,0,2825,2825,5000
17/12/2023 13:26:23,0,0,0,0,1440,2,0,2825,2825,5000
17/12/2023 13:26:24,0,0,0,0,1440,2,0,2825,2825,5000
17/12/2023 13:26:25,0,0,0,0,1440,2,0,2825,2825,5000
17/12/2023 13:26:26,0,0,0,0,1440,2,0,2825,2825,5000
17/12/2023 13:26:27,0,0,0,0,1440,2,0,2819,2819,5000
17/12/2023 13:26:28,0,0,0,0,1440,2,0,2819,2819,5000
17/12/2023 13:26:29,0,0,0,0,1440,2,0,2817,2817,5000
17/12/2023 13:26:30,0,0,0,0,1440,2,0,2817,2817,5000
17/12/2023 13:26:31,0,0,0,0,1440,2,0,2817,2817,5000
17/12/2023 13:26:32,0,0,0,0,1440,2,0,2817,2817,5000
17/12/2023 13:26:33,0,0,0,0,1440,2,0,2817,2817,5000
17/12/2023 13:26:34,0,0,0,0,1440,2,0,2817,2817,5000
17/12/2023 13:26:35,0,0,0,0,1440,2,0,2809,2809,5000
17/12/2023 13:26:36,0,0,0,0,1440,2,0,2809,2809,5000
17/12/2023 13:26:37,0,0,0,0,1440,2,0,2809,2809,5000
17/12/2023 13:26:38,0,0,0,0,1440,2,0,2809,2809,5000
17/12/2023 13:26:39,0,0,0,0,1440,2,0,2809,2809,5000
17/12/2023 13:26:40,0,0,0,0,1440,2,0,2809,2809,5000
17/12/2023 13:26:41,0,0,0,0,1440,2,0,2809,2809,5000
